url_sub_page,parsed_ingredients
https://www.allrecipes.com/recipe/11062/pudding-chocolate-chippers/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup shortening
1 cup white sugar
.75 cup packed brown sugar
1 (3.5 ounce) package instant vanilla pudding mix
2 eggs
2.25 cups all-purpose flour
1 teaspoon baking soda"
https://www.allrecipes.com/recipe/10132/beverlys-get-up-go-breakfast-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup butter
.5 cup white sugar
1 egg
2 tablespoons frozen orange juice concentrate
1 tablespoon orange zest
1.25 cups all-purpose flour"
https://www.allrecipes.com/recipe/10225/super-sugar-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
1 cup vegetable oil
1 teaspoon salt
1 cup confectioners sugar
2 eggs
1 cup white sugar
1 teaspoon baking soda
1 teaspoon cream of tartar"
https://www.allrecipes.com/recipe/9583/linzer-torte-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".75 cup butter
1 cup white sugar
1 egg
1 teaspoon lemon zest
2 cups all-purpose flour
.75 cup blanched slivered almonds
1 teaspoon ground cinnamon"
https://www.allrecipes.com/recipe/7608/peanut-candy-bar-cake/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 (18.25 ounce) package yellow cake mix
.33 cup butter
3 cups miniature marshmallows
.67 cup light corn syrup
1 egg
2 teaspoons vanilla extract
2 cups peanut butter chips
2 cups salted peanuts"
https://www.allrecipes.com/recipe/9833/better-than-sex-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
2 cups white sugar
2 eggs
1 teaspoon vanilla extract
2.5 cups all-purpose flour
1 teaspoon baking soda
.5 teaspoon salt
1.67 cups vanilla baking chips"
https://www.allrecipes.com/recipe/9946/pizzelles-i/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 cups margarine
12 eggs
3 cups white sugar
8 teaspoons baking powder"
https://www.allrecipes.com/recipe/218592/shanibars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup chopped dates
.75 cup peanut butter
.5 cup flaked coconut"
https://www.allrecipes.com/recipe/218669/peanut-butter-banana-protein-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 cups quick cooking oats
1 cup protein powder
.25 cup whole wheat flour
1 tablespoon ground flax seed
1 cup peanut butter"
https://www.allrecipes.com/recipe/19216/peanut-butter-balls-viii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 cups peanut butter
2.5 cups whole bran cereal
2 cups powdered milk"
https://www.allrecipes.com/recipe/17330/potato-chip-cookies-vi/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup shortening
1 cup white sugar
1 cup brown sugar
2 eggs
1 teaspoon vanilla extract
2 cups all-purpose flour
1 teaspoon baking soda
.5 teaspoon salt"
https://www.allrecipes.com/recipe/23133/davids-secret-ingredient-chocolate-chip-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"4.5 cups crispy rice cereal
1.75 cups all-purpose flour
1 teaspoon baking soda
.5 teaspoon salt
1 cup butter
.75 cup white sugar
.75 cup light brown sugar
2 eggs"
https://www.allrecipes.com/recipe/25792/smore-bars-ii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1.5 cups butter
4 cups graham cracker crumbs"
https://www.allrecipes.com/recipe/25764/easy-chocolate-covered-coconut-macaroons/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"10 cups flaked coconut
2 cups all-purpose flour
.5 teaspoon salt
2.67 cups sweetened condensed milk
4 teaspoons vanilla extract"
https://www.allrecipes.com/recipe/25133/the-easiest-yummiest-sugar-cookies-ever/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2.5 cups all-purpose flour
1.5 teaspoons baking soda
1 cup butter
1.25 cups white sugar
.25 cup brown sugar
1 egg
1 teaspoon vanilla extract"
https://www.allrecipes.com/recipe/151945/autumn-harvest-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup softened butter
.5 cup brown sugar
.5 cup white sugar
2 eggs
.5 teaspoon orange extract
.5 teaspoon vanilla extract
1.5 cups all-purpose flour
.25 teaspoon salt
1 teaspoon baking powder
1 teaspoon pumpkin pie spice
2.5 cups rolled oats"
https://www.allrecipes.com/recipe/230280/oatmeal-chocolate-coconut-macaroons/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 cups quick-cooking oats
1 cup shredded coconut
.25 cup unsweetened cocoa powder
2 cups white sugar"
https://www.allrecipes.com/recipe/228020/breakfast-brownies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1.5 cups quick-cooking oats
.75 cup brown sugar
.75 cup flax seed meal
.5 cup gluten-free all purpose baking flour
1 teaspoon baking powder
.5 teaspoon ground cinnamon
.25 teaspoon salt
1 banana
.25 cup rice milk"
https://www.allrecipes.com/recipe/235444/chewy-ginger-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 cups sifted all-purpose flour
4 teaspoons ground ginger
2 teaspoons baking soda
2 teaspoons ground cinnamon
.5 teaspoon salt
.25 teaspoon ground allspice
1 cup white sugar
.75 cup butter
1 egg"
https://www.allrecipes.com/recipe/10274/instant-chocolate-oatmeal-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"3 cups quick cooking oats
1 teaspoon vanilla extract
1 pinch salt
1 cup chopped pecans (optional)
2 cups white sugar
.5 cup evaporated milk"
https://www.allrecipes.com/recipe/10508/vanishing-oatmeal-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup margarine
1 cup packed brown sugar
.5 cup white sugar
2 eggs
1 teaspoon vanilla extract
1 cup raisins
1 cup black walnuts
1.5 cups all-purpose flour
.5 teaspoon salt
1 teaspoon baking soda"
https://www.allrecipes.com/recipe/11223/cherry-winks/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".75 cup shortening
1 cup white sugar
2 eggs
2 tablespoons milk
1 teaspoon vanilla extract
2.25 cups sifted all-purpose flour
1 teaspoon baking powder
.5 teaspoon baking soda
.5 teaspoon salt
1 cup chopped pecans
1 cup dates
.33 cup maraschino cherries
2.5 cups crushed cornflakes cereal"
https://www.allrecipes.com/recipe/10727/cranberry-oatmeal-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"10 tablespoons butter
.67 cup packed dark brown sugar
1 teaspoon vanilla extract
2 eggs
1.5 teaspoons baking soda
1 pinch salt
1.67 cups whole wheat flour
1 cup rolled oats"
https://www.allrecipes.com/recipe/10789/sugar-cookies-x/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 cups white sugar
1 teaspoon vanilla extract
1 cup butter
1 teaspoon cream of tartar
1 cup vegetable oil
1 teaspoon baking soda
2 eggs"
https://www.allrecipes.com/recipe/11500/swedish-angel-crisps/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup white sugar
.5 cup packed brown sugar
.5 cup shortening
.5 cup butter
1 egg
1 teaspoon vanilla extract
2 cups all-purpose flour
1 teaspoon baking soda
1 teaspoon cream of tartar"
https://www.allrecipes.com/recipe/13809/soft-pumpkin-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup white sugar
1 tablespoon butter
1 egg
1 teaspoon vanilla extract
1 cup pumpkin puree
.5 cup chopped walnuts
2 cups all-purpose flour"
https://www.allrecipes.com/recipe/13845/pumpkin-walnut-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".25 cup margarine
.75 cup vegetable oil
1 cup white sugar
1 egg
1 teaspoon vanilla extract
1 cup pumpkin puree
3 cups all-purpose flour
1 teaspoon baking powder
1 teaspoon baking soda
.5 teaspoon salt"
https://www.allrecipes.com/recipe/10854/eskimo-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".75 cup butter
.75 cup white sugar
3 tablespoons unsweetened cocoa powder
.5 teaspoon vanilla extract
1 tablespoon water"
https://www.allrecipes.com/recipe/10892/doubly-delicious-peanut-butter-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup white sugar
1 cup packed brown sugar
1 cup crunchy peanut butter
.5 cup butter flavored shortening
2 eggs
1.5 cups all-purpose flour
.5 teaspoon baking soda"
https://www.allrecipes.com/recipe/11308/pecan-pie-surprise-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 (18.25 ounce) package yellow cake mix
.5 cup butter
1 egg
.5 cup packed brown sugar
1.5 cups dark corn syrup
1 teaspoon vanilla extract"
https://www.allrecipes.com/recipe/10481/no-bake-camping-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup butter
.67 cup white sugar
3 tablespoons unsweetened cocoa powder
1 tablespoon strong brewed coffee
.5 teaspoon vanilla extract"
https://www.allrecipes.com/recipe/10478/toffee-crunch-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1.5 cups sifted all-purpose flour
.5 teaspoon baking soda
.5 teaspoon salt
.5 cup butter
.75 cup packed brown sugar
1 egg
1 teaspoon vanilla extract"
https://www.allrecipes.com/recipe/10463/whitneys-peanut-butter-cookie-balls/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup peanut butter
1 cup butter
2 cups confectioners sugar"
https://www.allrecipes.com/recipe/10347/oatmeal-chocolate-chip-cookies-ii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1.5 cups butter
4 eggs
3 cups packed brown sugar
2 teaspoons vanilla extract
5 cups rolled oats
3 cups whole wheat flour
.5 cup all-purpose flour
4 teaspoons baking soda"
https://www.allrecipes.com/recipe/10149/melting-moments-ii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup all-purpose flour
.5 cup cornstarch"
https://www.allrecipes.com/recipe/9931/raspberry-squares-ii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"6 ounces raspberry jam
1 cup chopped walnuts
2.25 cups all-purpose flour
1 cup white sugar"
https://www.allrecipes.com/recipe/10035/pumpkin-cookies-ii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup shortening
1.25 cups packed brown sugar
2 eggs
1 teaspoon vanilla extract
1.5 cups canned pumpkin
2.5 cups all-purpose flour
4 teaspoons baking powder
.5 teaspoon ground cinnamon
.5 teaspoon ground nutmeg"
https://www.allrecipes.com/recipe/9975/mini-pecan-tarts/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup margarine
.5 cup white sugar
2 egg yolks
1 teaspoon almond extract
2 cups sifted all-purpose flour
.5 cup margarine
.5 cup corn syrup"
https://www.allrecipes.com/recipe/10032/allisons-supreme-chocolate-chip-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup shortening
.5 cup butter
.75 cup packed brown sugar
.75 cup white sugar
2 eggs
1 teaspoon vanilla extract
1 tablespoon coffee-flavored liqueur
2 cups all-purpose flour
1 teaspoon baking soda
1 teaspoon salt
2 cups rolled oats"
https://www.allrecipes.com/recipe/9688/norwegian-butter-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup butter
2 eggs
.25 cup white sugar"
https://www.allrecipes.com/recipe/231745/red-velvet-crinkle-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"6 tablespoons butter
1 cup powdered sugar
1 teaspoon cornstarch
1 (18.25 ounce) box Duncan Hines® Red Velvet Cake Mix"
https://www.allrecipes.com/recipe/230870/coconut-date-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".33 cup slivered almonds
.5 cup flaked coconut
10 pitted dates
.25 cup cashews"
https://www.allrecipes.com/recipe/222146/healthier-soft-oatmeal-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
.5 cup white sugar
.75 cup packed brown sugar
2 eggs
1 teaspoon vanilla extract
1 cup all-purpose flour
1 cup whole wheat flour
1 teaspoon baking soda
1 teaspoon salt
2 teaspoons ground cinnamon
1 cup diced"
https://www.allrecipes.com/recipe/80446/brown-sugar-cut-out-cookies-and-icing/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
2 cups brown sugar
1 teaspoon pure vanilla extract
5 cups all-purpose flour
.5 teaspoon salt
1 teaspoon baking soda
.25 cup milk
1 cup butter
1 teaspoon pure vanilla extract"
https://www.allrecipes.com/recipe/25047/bettys-sugar-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup shortening
.5 cup white sugar
.5 cup brown sugar
2 eggs
1.5 teaspoons vanilla extract
2.25 cups all-purpose flour
.5 teaspoon baking soda"
https://www.allrecipes.com/recipe/23748/butter-pecan-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".75 cup butter
1 cup white sugar
1 cup packed brown sugar
2 eggs
1 teaspoon vanilla extract"
https://www.allrecipes.com/recipe/17843/buttermilk-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup shortening
2 cups white sugar
4 eggs
4 cups all-purpose flour
4 teaspoons baking powder
2 teaspoons baking soda
1 teaspoon salt"
https://www.allrecipes.com/recipe/230959/all-natural-no-bake-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup honey
.5 cup coconut oil
.5 cup cocoa powder
2 cups rolled oats
1 cup natural peanut butter"
https://www.allrecipes.com/recipe/230145/rum-balls/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 (12 ounce) box vanilla wafer cookies (such as Nilla®)
1 cup semisweet chocolate chips
.25 cup light corn syrup
.75 cup dark rum (such as Meyers®)"
https://www.allrecipes.com/recipe/9829/no-bake-peanut-butter-cookies-i/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 cups white sugar
.5 cup milk
.25 cup butter
2 tablespoons unsweetened cocoa powder
3 cups quick cooking oats
.5 cup peanut butter"
https://www.allrecipes.com/recipe/10451/chocolate-chip-kiss-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"48 milk chocolate candy kisses
1 cup butter
.33 cup white sugar
.33 cup packed brown sugar
1 teaspoon vanilla extract"
https://www.allrecipes.com/recipe/10987/lavender-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".625 cup butter
.5 cup white sugar
1 egg
1 tablespoon lavender flowers
1.5 cups all-purpose flour"
https://www.allrecipes.com/recipe/11388/raspberry-chocolate-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1.5 cups all-purpose flour
.75 cup white sugar
.75 cup butter
1 (10 ounce) package frozen raspberries
.25 cup orange juice"
https://www.allrecipes.com/recipe/11427/chocophiles/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup butter
1 cup white sugar
2 (2 ounce) packages liquid unsweetened bakers chocolate
2 eggs
2 teaspoons vanilla extract
.5 teaspoon baking soda
1.5 cups all-purpose flour
.5 cup white chocolate chips"
https://www.allrecipes.com/recipe/11607/raisin-puffs/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup raisins
1 cup water
1 teaspoon vanilla extract
1 cup shortening
1.5 cups white sugar
2 eggs
3.5 cups all-purpose flour
1 teaspoon baking soda
.5 teaspoon salt"
https://www.allrecipes.com/recipe/15565/chinese-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1.5 cups white sugar
1.5 cups shortening
1 egg
1 teaspoon vanilla extract
3.5 cups cake flour
1.25 teaspoons baking soda
.75 teaspoon salt"
https://www.allrecipes.com/recipe/10847/graham-cracker-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".75 cup butter
.5 cup white sugar
.5 cup packed brown sugar
1 egg
1 teaspoon vanilla extract
1.25 cups all-purpose flour
1 cup graham cracker crumbs
.5 teaspoon salt
.5 teaspoon baking soda
.75 cup candy-coated milk chocolate pieces"
https://www.allrecipes.com/recipe/11059/cranberry-crunch-squares/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 (16 ounce) can jellied cranberry sauce
2.33 cups rolled oats
.75 cup all-purpose flour
1.625 cups packed brown sugar"
https://www.allrecipes.com/recipe/10629/michelles-peanut-butter-dots/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
1 cup white sugar
1 cup peanut butter
.25 cup milk"
https://www.allrecipes.com/recipe/10574/grand-marnier-brownies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"4 (1 ounce) squares unsweetened chocolate
.5 cup butter
.75 cup packed brown sugar
.75 cup white sugar
2 eggs
4 tablespoons brandy-based orange liqueur (such as Grand Marnier®)
1 teaspoon vanilla extract
1 teaspoon orange zest
.75 cup all-purpose flour"
https://www.allrecipes.com/recipe/10584/sugar-cookies-vi/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".67 cup butter
.75 cup white sugar
.5 cup packed brown sugar
2 eggs
2 teaspoons vanilla extract
2.5 cups all-purpose flour"
https://www.allrecipes.com/recipe/10335/peanut-butter-choco-chip-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 cups peanut butter
2 cups white sugar
4 eggs"
https://www.allrecipes.com/recipe/9915/busias-cutout-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".67 cup butter
1 cup white sugar
.25 cup milk
2 eggs
1 teaspoon vanilla extract
.25 teaspoon salt"
https://www.allrecipes.com/recipe/9666/date-bars-i/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2.5 cups dates
.5 cup packed brown sugar
1 cup water
3 cups rolled oats
2 cups all-purpose flour
1 cup packed brown sugar
1 teaspoon baking powder"
https://www.allrecipes.com/recipe/9738/ginger-and-spice-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"4 cups sifted all-purpose flour
.75 teaspoon baking soda
.75 teaspoon ground ginger
1.5 teaspoons ground cinnamon
1.5 teaspoons ground cloves
.5 teaspoon salt
2 eggs
.5 cup unsulfured molasses
1.25 cups white sugar"
https://www.allrecipes.com/recipe/9451/fruitcake-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
2 cups packed light brown sugar
4 eggs
1 pound golden raisins
1 pound raisins
.5 pound red candied cherries
.5 pound red candied pineapple
.5 pound green candied cherries
.5 pound green candied pineapple
1 cup bourbon
2 tablespoons milk
1 teaspoon ground cinnamon
1 teaspoon ground nutmeg
3.5 cups all-purpose flour"
https://www.allrecipes.com/recipe/227998/chocolate-oatmeal-chip-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 cups all-purpose flour
.75 cup unsweetened cocoa powder
1 teaspoon baking soda
.5 teaspoon baking powder
.5 teaspoon salt
1 cup butter
1 cup white sugar
1 cup packed light brown sugar
2 large eggs
1 teaspoon vanilla extract"
https://www.allrecipes.com/recipe/230558/gluten-free-magic-cookie-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 cups white sugar
2 large eggs
2 cups peanut butter
.75 cup semisweet chocolate chips
.75 cup dark chocolate chips
.5 cup chopped raw pecans
.5 cup chopped raw almonds"
https://www.allrecipes.com/recipe/235748/chocolate-oatmeal-chocolate-chips-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
1 cup brown sugar
1 cup white sugar
2 eggs
2 teaspoons vanilla extract
3 cups oats
1.5 cups all-purpose flour
1 cup chocolate chips
.5 cup cocoa powder"
https://www.allrecipes.com/recipe/19187/holland-butter-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 cups butter
3 cups all-purpose flour"
https://www.allrecipes.com/recipe/20555/puff-balls/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,1 (12 ounce) package refrigerated biscuit dough
https://www.allrecipes.com/recipe/19273/caramel-heavenlies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"16 graham crackers
2 cups miniature marshmallows
.75 cup butter
1 teaspoon vanilla extract
.75 cup brown sugar"
https://www.allrecipes.com/recipe/25026/chocolate-cherry-drops/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".625 cup butter
1 cup white sugar
1 egg
1 teaspoon vanilla extract
1.25 cups all-purpose flour
6 tablespoons unsweetened cocoa powder
.5 teaspoon baking soda
.5 teaspoon salt
1 cup maraschino cherries"
https://www.allrecipes.com/recipe/50945/honey-wheat-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup butter or margarine
.5 cup natural peanut butter
.5 cup honey
1 egg
1 tablespoon vanilla extract
1 cup sifted whole wheat flour
.5 cup dry milk powder"
https://www.allrecipes.com/recipe/215829/anisette-toast/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2.5 cups all-purpose flour
2 teaspoons baking powder
.25 teaspoon baking soda
.25 teaspoon salt
.25 cup softened butter
1 cup white sugar"
https://www.allrecipes.com/recipe/27194/grandmas-oatmeal-raisin-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 cups shortening
2 cups brown sugar
.5 cup white sugar
4 eggs
2 teaspoons vanilla extract
4 cups all-purpose flour
1.5 teaspoons baking soda
1 teaspoon salt
2 teaspoons ground cinnamon
1 teaspoon ground allspice
1 teaspoon ground cloves
6 cups rolled oats"
https://www.allrecipes.com/recipe/240496/gluten-free-sugar-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2.5 cups gluten-free flour
1 teaspoon baking powder
.5 teaspoon salt
1 cup white sugar
.75 cup butter
1 teaspoon vanilla extract
2 eggs
.25 cup cream cheese
.25 cup butter"
https://www.allrecipes.com/recipe/11205/waffle-iron-brownies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup butter
.25 cup unsweetened cocoa powder
.75 cup white sugar
2 eggs
1 tablespoon water
1.25 cups all-purpose flour
.25 teaspoon salt"
https://www.allrecipes.com/recipe/11209/triple-layer-cookie-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup butter
1.5 cups graham cracker crumbs
7 ounces flaked coconut
14 ounces sweetened condensed milk"
https://www.allrecipes.com/recipe/11161/chocolate-balls/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup peanut butter
.75 cup confectioners sugar
1 cup graham cracker crumbs
2 cups semisweet chocolate chips
3 (1 ounce) squares semisweet chocolate"
https://www.allrecipes.com/recipe/11017/pumpkin-bars-ii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 (15 ounce) can pumpkin puree
2 teaspoons ground cinnamon
1 teaspoon pumpkin pie spice
2 cups white sugar
2 cups all-purpose flour
2 tablespoons baking powder
1 tablespoon baking soda
.25 teaspoon salt
1 cup vegetable oil
4 eggs
4.5 ounces cream cheese
9 tablespoons butter
1.5 teaspoons vanilla extract"
https://www.allrecipes.com/recipe/10999/lizs-astounding-chocolate-chip-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup shortening
.25 cup packed brown sugar
.5 cup white sugar
1 egg
1 teaspoon vanilla extract
1.125 cups all-purpose flour
.25 teaspoon salt"
https://www.allrecipes.com/recipe/11369/creme-de-menthe-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup white sugar
1 cup butter
4 eggs
1 cup all-purpose flour
.5 teaspoon salt
1 (16 ounce) can chocolate syrup
1 tablespoon vanilla extract
2 cups confectioners sugar
.5 cup butter
.25 cup creme de menthe liqueur"
https://www.allrecipes.com/recipe/9991/faux-reos/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 (18.25 ounce) packages devils food cake mix
1.5 cups shortening"
https://www.allrecipes.com/recipe/10107/kathys-italian-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".75 cup butter
.33 cup white sugar
3 eggs
1 teaspoon vanilla extract
2 tablespoons fresh orange juice
3 cups all-purpose flour"
https://www.allrecipes.com/recipe/10142/banana-spice-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup butter
2.25 cups all-purpose flour
1 cup white sugar
2 eggs
1 teaspoon vanilla extract
.5 teaspoon ground cinnamon
.25 teaspoon baking soda
.125 teaspoon ground cloves
3 ripe bananas"
https://www.allrecipes.com/recipe/10117/pumpkin-chocolate-chip-cookies-ii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup canned pumpkin
1 cup white sugar
.5 cup vegetable oil
1 egg
1 teaspoon vanilla extract
2 cups all-purpose flour
2 teaspoons baking powder
1 teaspoon ground cinnamon
.125 teaspoon ground nutmeg
.5 teaspoon baking soda
1 teaspoon milk"
https://www.allrecipes.com/recipe/10654/flourless-cow-pies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"3 eggs
1 cup packed brown sugar
1 cup white sugar
.75 teaspoon vanilla extract
.75 teaspoon light corn syrup
2 teaspoons baking soda
.5 cup butter
1.5 cups peanut butter"
https://www.allrecipes.com/recipe/240591/vegan-chocolate-chip-oatmeal-and-nut-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup white sugar
.33 cup soy milk
.33 cup peanut butter
2 tablespoons canola oil
1 teaspoon pure vanilla extract
1 cup whole wheat flour
1 cup rolled oats
.5 teaspoon baking soda
.5 teaspoon salt"
https://www.allrecipes.com/recipe/234733/lemon-pound-cake-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".75 cup white sugar
.67 cup salted sweet cream butter
2 cups all-purpose flour
2 teaspoons baking powder"
https://www.allrecipes.com/recipe/26221/raspberry-almond-kiss-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".5 cup butter
.5 cup white sugar
.5 cup packed brown sugar
1 egg
1 teaspoon almond extract
2 cups all-purpose flour
1 teaspoon baking soda
.25 teaspoon salt
.25 cup white sugar for decoration
40 milk chocolate candy kisses
1 cup confectioners sugar
1 tablespoon milk"
https://www.allrecipes.com/recipe/46740/chocolate-press-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,".625 cup shortening
1.75 cups white sugar
1 beaten egg
.5 teaspoon vanilla extract
2 teaspoons milk
2 cups all-purpose flour
6 tablespoons unsweetened cocoa powder"
https://www.allrecipes.com/recipe/72651/butterscotch-cookie-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butterscotch chips
.25 cup butter
2 eggs
.5 teaspoon vanilla extract
.75 cup all-purpose flour
1 teaspoon baking powder
.75 teaspoon salt
1 cup brown sugar
1 cup semi-sweet chocolate chips"
https://www.allrecipes.com/recipe/198255/masala-chai-brownies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"2 tablespoons unsweetened cocoa powder
.33 cup unsweetened shredded coconut
1 cup all-purpose flour
1 cup white sugar
.25 cup unsweetened cocoa powder
.5 teaspoon baking powder
.5 teaspoon salt
.5 cup very strongly brewed masala chai"
https://www.allrecipes.com/recipe/204421/maple-shortbread-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 cup butter
.5 cup maple syrup"
https://www.allrecipes.com/recipe/152706/extra-easy-pumpkin-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub,"1 (14 ounce) can 100% pure pumpkin
2 eggs
.5 cup applesauce
.5 teaspoon vanilla extract
1 (18.25 ounce) package spice cake mix
1 teaspoon cinnamon"
