0,1,2
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=2,page 2 of 259,https://www.allrecipes.com/recipe/10141/outrageous-chocolate-chip-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=2,page 2 of 259,https://www.allrecipes.com/recipe/10222/raspberry-and-almond-shortbread-thumbprints/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=2,page 2 of 259,https://www.allrecipes.com/recipe/9998/flourless-peanut-butter-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=2,page 2 of 259,https://www.allrecipes.com/recipe/25080/mmmmm-brownies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=2,page 2 of 259,NO_URL
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=2,page 2 of 259,https://www.allrecipes.com/recipe/10745/no-bake-cookies-iii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=2,page 2 of 259,https://www.allrecipes.com/recipe/15295/soft-sugar-cookies-iv/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=2,page 2 of 259,https://www.allrecipes.com/recipe/9861/chocolate-crinkles-ii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=2,page 2 of 259,https://www.allrecipes.com/recipe/10264/oatmeal-raisin-cookies-i/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=2,page 2 of 259,https://www.allrecipes.com/recipe/9864/cracked-sugar-cookies-i/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=2,page 2 of 259,https://www.allrecipes.com/recipe/10177/blonde-brownies-i/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=2,page 2 of 259,https://www.allrecipes.com/recipe/11314/delicious-raspberry-oatmeal-cookie-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=2,page 2 of 259,https://www.allrecipes.com/recipe/10776/easy-lemon-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=2,page 2 of 259,https://www.allrecipes.com/recipe/9599/quick-and-easy-brownies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=2,page 2 of 259,https://www.allrecipes.com/recipe/10740/pumpkin-chocolate-chip-cookies-iii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=2,page 2 of 259,https://www.allrecipes.com/recipe/9589/chewy-coconut-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=2,page 2 of 259,https://www.allrecipes.com/recipe/22850/chewy-sugar-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=2,page 2 of 259,NO_URL
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=2,page 2 of 259,https://www.allrecipes.com/recipe/9996/chewy-peanut-butter-chocolate-chip-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=2,page 2 of 259,https://www.allrecipes.com/recipe/11024/joeys-peanut-butter-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=2,page 2 of 259,https://www.allrecipes.com/recipe/10707/mmm-mmm-better-brownies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=2,page 2 of 259,https://www.allrecipes.com/recipe/10638/cranberry-pistachio-biscotti/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=3,page 3 of 259,https://www.allrecipes.com/recipe/15067/apple-squares/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
